Store_ID,Metratura_scaled,FTE_scaled,PTE_scaled,QAC_Oct_scaled,QAC_Nov_scaled,QAC_Dec_scaled,QAC_Jan_scaled,QAC_Feb_scaled,QAC_Mar_scaled,TNPS_Oct_scaled,TNPS_Nov_scaled,TNPS_Dec_scaled,TNPS_Jan_scaled,TNPS_Feb_scaled,Tipologia_encoded,Localita_encoded,area_encoded,SM si/no_encoded,Provincia_encoded,Footfall,night_Fixed_CB_%_scaled_200,midday_Fixed_CB_%_scaled_200,CB_Night_scaled_200,CB_Midday_scaled_200,CB_Weekend_scaled_200,night_MEAN_scaled_ARPU_200,night_MIN_scaled_ARPU_200,night_MAX_scaled_ARPU_200,midday_MEAN_scaled_ARPU_200,midday_MIN_scaled_ARPU_200,midday_MAX_scaled_ARPU_200,weekend_MEAN_scaled_ARPU_200,weekend_MIN_scaled_ARPU_200,weekend_MAX_scaled_ARPU_200,night_Fixed_CB_%_scaled_500,midday_Fixed_CB_%_scaled_500,CB_Night_scaled_500,CB_Midday_scaled_500,CB_Weekend_scaled_500,night_MEAN_scaled_ARPU_500,night_MIN_scaled_ARPU_500,night_MAX_scaled_ARPU_500,midday_MEAN_scaled_ARPU_500,midday_MIN_scaled_ARPU_500,midday_MAX_scaled_ARPU_500,weekend_MEAN_scaled_ARPU_500,weekend_MIN_scaled_ARPU_500,weekend_MAX_scaled_ARPU_500,night_Fixed_CB_%_scaled_1000,midday_Fixed_CB_%_scaled_1000,CB_Night_scaled_1000,CB_Midday_scaled_1000,CB_Weekend_scaled_1000,night_MEAN_scaled_ARPU_1000,night_MIN_scaled_ARPU_1000,night_MAX_scaled_ARPU_1000,midday_MEAN_scaled_ARPU_1000,midday_MIN_scaled_ARPU_1000,midday_MAX_scaled_ARPU_1000,weekend_MEAN_scaled_ARPU_1000,weekend_MIN_scaled_ARPU_1000,weekend_MAX_scaled_ARPU_1000,Footfall_classif
140,0.2489626556016597,0.25,0.2,0.04132231404958678,0.051987767584097865,0.08974358974358974,0.109375,0.1,0.2558139534883721,0.6754545454545454,0.59,0.619,0.8945000000000001,0.7690000000000001,1,153,2,0,66,0.19000485201358566,0.31527093596059114,0.6231550761722756,0.15434699348908462,0.15587897357334354,0.14845844504021447,0.31834728306649457,0.9904101901056026,0.019911831316744087,0.3442594284893061,0.9793603676852028,0.027870059975994482,0.3109169439378268,0.9867018607737316,0.03259043907676913,0.5432871287128713,0.6225689889382789,0.06241366319226424,0.05877181966595505,0.05558520658043452,0.31834728306649457,0.9904101901056026,0.019911831316744087,0.3442594284893061,0.9793603676852028,0.027870059975994482,0.3109169439378268,0.9867018607737316,0.03259043907676913,0.5421516754850088,0.5395898315164782,0.033258952289873564,0.031062940530584775,0.029097155810576283,0.2833305791116396,0.9951335873671234,0.02929942179649164,0.3380862781155515,0.9941491528203912,0.030085520764116483,0.35844170017470794,0.9964006887630884,0.02636455542688624,0
287,0.16182572614107885,0.75,0.0,0.008264462809917356,0.08868501529051988,0.01282051282051282,0.0,0.0,0.04651162790697674,0.6063636363636364,0.44,0.7090000000000001,0.7085,0.434,4,294,1,1,91,0.6699660359049004,0.4848484848484849,0.7929340837707372,0.011489850631941785,0.03906549214860207,0.03547491382612026,0.08268330105459071,0.9904101901056026,0.004879202577509777,0.1265259620853803,0.9917524987755982,0.01984843274602789,0.05638925174981513,0.9991868859077846,0.010234724514618716,0.4656602984242086,0.4692272529582904,0.035288207961823435,0.0478462890870275,0.043356775084767055,0.08268330105459071,0.9904101901056026,0.004879202577509777,0.1265259620853803,0.9917524987755982,0.01984843274602789,0.05638925174981513,0.9991868859077846,0.010234724514618716,0.4741702741702742,0.4696632498427154,0.02433322707469981,0.033329791378882874,0.029362802394361207,0.09249542004668176,0.9951360382704236,0.016362666340553923,0.09860476827322397,0.9978118923877848,0.01672894128780368,0.09879247947411064,1.0,0.004908233645979608,2
322,0.2199170124481328,0.5,0.0,0.12396694214876032,1.0,0.1794871794871795,0.171875,0.15,0.18604651162790692,0.5681818181818181,0.737,0.545,0.9079999999999999,0.579,3,327,0,1,98,0.2296943231441048,0.3018867924528302,0.44550972124661214,0.03944848716966679,0.28341631558789737,0.10968019915741097,0.4074451632090596,0.9904101901056026,0.0420962099732948,0.4070562236151372,0.9917524987755982,0.045012080824157016,0.3832077137841472,0.9576507664418604,0.11602294228173345,0.5730084177931589,0.431224004076748,0.09519025492904684,0.2332035664950396,0.1397243501193018,0.4074451632090596,0.9904101901056026,0.0420962099732948,0.4070562236151372,0.9917524987755982,0.045012080824157016,0.3832077137841472,0.9576507664418604,0.11602294228173345,0.5249999999999999,0.4048170153040071,0.07487691708284631,0.12106400311691992,0.08155350122197429,0.28323214093568616,0.995103216198504,0.04342710710949869,0.395815001829398,0.9914489784834536,0.2695588199197413,0.3959177916698817,0.9887114400854304,0.1921859989189303,1
305,0.1867219917012448,0.25,0.0,0.049586776859504134,0.17737003058103976,0.08974358974358974,0.125,0.15,0.16279069767441862,0.9327272727272726,0.5870000000000001,0.875,1.0,0.765,3,306,2,0,95,0.12100921882581273,0.3473684210526316,0.4996025456120559,0.07162006893910379,0.07008808885484487,0.07114132516277287,0.3220934703446112,0.9904101901056026,0.02221294439678797,0.295870039727639,0.9917524987755982,0.03107580665348287,0.27867579921750785,0.9991868859077846,0.017943275254680913,0.6841352103960396,0.6222218156009077,0.06392063292728871,0.059525304533467285,0.06376365691322365,0.3220934703446112,0.9904101901056026,0.02221294439678797,0.295870039727639,0.9917524987755982,0.03107580665348287,0.27867579921750785,0.9991868859077846,0.017943275254680913,0.6266009852216748,0.6234890511139279,0.02854815287075408,0.02656465837849325,0.02632557645308681,0.2257111723933456,0.9951360382704236,0.025570615129489285,0.2340640420840925,1.0,0.02297429753685286,0.2736039200635866,0.9947164897681642,0.029134217298953564,0
169,0.1950207468879668,0.375,0.0,0.09090909090909093,0.01834862385321101,0.10256410256410256,0.140625,0.1,0.13953488372093026,0.75,0.593,0.8440000000000001,0.879,0.5,3,70,0,1,16,0.1981562348374576,0.22030651340996169,0.5179282868525897,0.3986978169283799,0.2608196093450785,0.2551704327843738,0.6596255114293228,0.8741780981828577,0.17673505593375816,0.6774526192704213,0.9917524987755982,0.12949617743957895,0.7177254373877562,0.8819247826589764,0.2129083972822222,0.39197443244176616,0.458640172115197,0.4244631420318976,0.4962953660680649,0.3839162375988949,0.6596255114293228,0.8741780981828577,0.17673505593375816,0.6774526192704213,0.9917524987755982,0.12949617743957895,0.7177254373877562,0.8819247826589764,0.2129083972822222,0.4040298236042917,0.4468785408462544,0.3244076081181597,0.4147628661495414,0.32125526865724513,0.7348209061718771,0.9297718643217304,0.3746197239117742,0.5677992810354496,0.951338645113058,0.5457650671642962,0.821253921214478,0.8051761652895315,0.4807895673673442,1
358,0.17427385892116182,0.25,0.0,0.02479338842975207,0.37003058103975534,0.1282051282051282,0.171875,0.11666666666666667,0.16279069767441862,0.8236363636363636,0.5770000000000001,0.826,0.8180000000000001,0.524,1,158,2,0,69,0.25754488112566715,0.3583815028901734,0.7932405643127971,0.19762543086939868,0.21907315204902333,0.1534373803140559,0.2891139991834755,0.9904101901056026,0.04126370560536796,0.2261840009917013,0.9917524987755982,0.0652372543599731,0.2302145120756206,0.9991868859077846,0.059702019532246166,0.6328833351353856,0.7402213597205558,0.16061785759136005,0.20406881828456613,0.16123006404621373,0.2891139991834755,0.9904101901056026,0.04126370560536796,0.2261840009917013,0.9917524987755982,0.0652372543599731,0.2302145120756206,0.9991868859077846,0.059702019532246166,0.6343329334932694,0.7645624006731221,0.08837176353912089,0.12032019268232212,0.10975631353380796,0.2819539354844425,0.9924567305488736,0.13738928767563555,0.28709758173890065,0.9631095470399134,0.1806101695511912,0.3306761761741473,0.9965303335788592,0.34509486953047963,1
82,0.13278008298755187,0.25,0.0,0.2066115702479339,0.1651376146788991,0.20512820512820512,0.15625,0.16666666666666666,0.3488372093023256,0.87,0.5910000000000001,0.917,0.9645,0.5379999999999999,1,102,1,0,23,0.17952450266860748,0.25142857142857145,0.4058124148878298,0.13289927230945994,0.1394101876675603,0.12069130601302185,0.1769779721578396,0.9904101901056026,0.022365060050747343,0.16499546112860436,0.9917524987755982,0.01866761869610117,0.1244650057326322,0.9991868859077846,0.21412793782000508,0.4497941929024363,0.3912499642321592,0.1672736405877182,0.13776214994348865,0.12578488007032526,0.1769779721578396,0.9904101901056026,0.022365060050747343,0.16499546112860436,0.9917524987755982,0.01866761869610117,0.1244650057326322,0.9991868859077846,0.21412793782000508,0.43828106852497095,0.3820375926753695,0.050614529097155816,0.0410866716254029,0.037845783303226715,0.1392223920428166,0.9951360382704236,0.07558408335530373,0.14644044865298678,1.0,0.033078993961405165,0.16212485595812876,1.0,0.2089433783133413,0
160,0.16597510373443985,0.25,0.0,0.0,0.10703363914373087,0.0,0.0,0.0,0.0,0.40909090909090906,0.0,0.659,0.8,0.6920000000000001,1,34,3,0,20,0.15778748180494906,0.2774252039891206,0.5008893851533245,0.4212945231711988,0.4607430103408656,0.3738031405591728,0.5345508303709663,0.9870454821135338,0.13484739122853945,0.5476029568386545,0.9883832305752897,0.1926427622830203,0.4837821809387763,0.9872839920448004,0.12634210529087692,0.5140505061742129,0.5289233982029751,0.1672736405877182,0.20796182343337932,0.16658294612583194,0.5345508303709663,0.9870454821135338,0.13484739122853945,0.5476029568386545,0.9883832305752897,0.1926427622830203,0.4837821809387763,0.9872839920448004,0.12634210529087692,0.5526133333333334,0.5944767839785075,0.17688520525626042,0.2168738710020189,0.16033985052952218,0.3787044120286186,0.9811609262787696,0.1840344175988841,0.3921260284539144,0.9889239431978518,0.19116631242885565,0.4350699741570463,0.9931862558558046,0.3064809304612414,0
67,0.0,0.25,0.0,0.09917355371900828,0.04281345565749235,0.07692307692307693,0.171875,0.26666666666666666,0.11627906976744184,0.7272727272727273,0.0,0.7140000000000001,0.8,0.789,0,85,2,0,46,0.25434255215914603,0.2326732673267327,0.4774050685642414,0.3083109919571045,0.3366526235158943,0.2471754117196477,0.19609639798712605,0.9904101901056026,0.01781689397575844,0.2178600029437336,0.9917524987755982,0.034428292340246434,0.13899949745178386,0.972307085425482,0.018203933931211776,0.4215129094136851,0.4375468420826025,0.2083385658671355,0.19665955042069566,0.1490644229561723,0.19609639798712605,0.9904101901056026,0.01781689397575844,0.2178600029437336,0.9917524987755982,0.034428292340246434,0.13899949745178386,0.972307085425482,0.018203933931211776,0.4687349321152138,0.4343314441102839,0.18588176956044344,0.1913009598696561,0.13892873587645665,0.15078632445124607,0.9951360382704236,0.1802152148984932,0.2082003058405332,1.0,0.23860043216761895,0.20204953471833487,0.9870030627006732,0.16903009875579994,1
326,0.2863070539419087,0.25,0.0,0.02479338842975207,0.039755351681957186,0.05128205128205128,0.015625,0.03333333333333333,0.04651162790697674,0.8181818181818182,0.522,0.812,0.8160000000000001,0.706,3,1,0,0,1,0.12566715186802524,0.3146779303062302,0.5580819891892433,0.3615472998851015,0.26962849482956724,0.3138644197625431,0.43233270561355136,0.9760247751056405,0.2766890709027203,0.43563410858208057,0.9917524987755982,0.1195468550385854,0.4039618624478686,0.9293621737030424,0.15279939106213106,0.5292776078339095,0.533980052594717,0.1370086650759764,0.10159487630290093,0.11572271756875548,0.43233270561355136,0.9760247751056405,0.2766890709027203,0.43563410858208057,0.9917524987755982,0.1195468550385854,0.4039618624478686,0.9293621737030424,0.15279939106213106,0.5584233465984461,0.6259857000084976,0.0620904615166649,0.046222505578578266,0.052779548755003014,0.3909487042367865,0.9851735383779172,0.27468587879906897,0.371837914609906,1.0,0.10563141338188284,0.488285074628076,0.9681308630836696,0.4610563449986579,0
